	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
ADH5	9329	6675	5629	13126	7181	5388	5948	4212	5474	6836	5195	5961	4904	8506
ADH6	3	1	1	7	4	6	0	1	4	3	0	0	0	1
ADH7	35	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	17	118	94	49	56	165	100	44	700	193	91	162	175	173
ADI1	3213	3130	5644	5364	7824	2809	2682	3609	2168	2983	4306	1795	4125	3607
ADIG	0	0	0	0	0	3	0	0	0	0	0	1	0	1
ADIPOQ	1141	354	6	213	2	2837	729	78	902	25	4	4834	426	11005
ADIPOR1	8565	3658	16719	15052	7515	7175	14472	14332	7672	14217	10231	11169	13359	9435
ADIPOR2	20423	5207	10026	12471	24304	4798	8337	11835	5894	11236	7920	54341	4249	11378
ADK	787	854	1198	1363	1125	867	815	619	1368	843	1073	1590	1293	1289
ADM2	2273	447	994	788	471	705	1038	1060	613	825	247	555	985	214
ADM	290	160	247	76	931	172	247	171	135	146	138	346	761	478
ADNP2	3218	1895	2525	2754	3987	1752	3027	2671	1483	2902	2360	1824	2827	2221
ADNP	11550	11351	9581	17622	17025	9107	14869	24109	9230	13404	8641	12725	16489	17326
ADORA1	650	702	5393	4215	1359	1299	1842	454	2455	6877	339	513	813	461
ADORA2A	352	122	252	144	276	2361	144	319	249	964	504	4056	410	365
ADORA2B	573	470	36	57	142	56	36	42	117	102	85	178	177	132
ADORA3	286	125	1281	153	64	369	422	809	572	282	602	348	602	337
ADO	1843	1723	2223	1727	2796	1831	1373	1647	1524	1959	2162	3044	2200	2698
ADPGK	2985	1651	2643	4028	3893	1785	2008	3259	1899	2625	2414	2829	3172	1705
ADPRHL1	64	274	385	36	169	361	269	154	460	559	271	254	220	409
ADPRHL2	3493	1344	2754	3307	2070	2430	1907	1220	2791	2116	1657	1423	3029	1599
ADPRH	1286	702	898	855	727	438	597	504	537	707	746	805	872	666
ADRA1A	2	7	0	5	5	2	6	3	8	3	1	6	0	94
ADRA1B	16	9	27	10	25	95	56	25	149	19	13	40	23	54
ADRA1D	1	18	4	0	5	4	5	2	5	6	6	66	15	8
ADRA2A	387	47	1165	95	165	1971	16716	824	1269	1357	7699	2273	2927	766
ADRA2B	118	16	28	172	268	98	51	20	42	64	14	65	115	61
ADRA2C	47	346	173	78	464	446	43	237	47	365	35	254	23	742
ADRB1	13	9	8	0	3	4	0	16	8	6	15	12	368	17
ADRB2	47	153	44	42	4	174	89	76	66	92	119	94	218	160
ADRB3	4	0	0	0	2	6	1	1	1	1	1	3	1	6
ADRBK1	7156	4567	6012	3788	7921	4261	8174	8640	5189	5541	4259	7002	7762	3639
ADRBK2	1563	1366	2078	1259	2002	1704	374	1185	1345	2495	2472	1137	1194	1185
ADRM1	7579	3039	5612	6120	6725	3531	10759	3933	5246	3005	2849	3658	7499	24299
ADSL	5733	2656	2396	5257	5412	1909	1939	1839	1828	2457	2158	1510	2330	1609
ADSSL1	105	245	392	795	182	329	173	463	580	333	307	231	499	164
ADSS	5940	3452	7571	4220	3138	4524	4399	8065	6351	6229	4530	5043	8907	6359
AEBP1	15423	12487	97657	7553	11642	24302	11348	54073	81379	40367	189729	59648	107595	27861
AEBP2	6248	2328	1884	4196	6640	1301	1181	2399	1496	1990	1492	1980	1430	1251
AEN	1097	1691	2919	2868	3529	1943	1328	2574	1631	1416	1189	1553	1138	1157
AES	25034	17300	20321	21869	32600	30370	19042	19480	21731	25077	16519	12996	21066	12780
AFAP1L1	1248	234	715	309	541	451	638	705	571	673	575	1165	836	677
AFAP1L2	449	585	2249	15764	276	1105	489	1423	612	2745	2743	6982	1663	16457
AFAP1	6731	9555	5765	8970	9214	2856	3276	5001	4618	5397	5945	6970	5639	4329
AFARP1	8	5	1	4	10	9	17	4	19	3	1	8	22	3
AFF1	3262	4100	5170	982	5248	5059	4538	4398	5141	7913	6322	6389	6939	5887
AFF2	371	1065	57	36	100	116	21	54	63	122	119	108	163	70
AFF3	243	706	20897	61	1232	3883	36549	3691	12389	12211	11523	18483	1967	15711
AFF4	4439	11341	11642	7542	6939	5984	11588	18194	10157	12608	11097	15739	9343	12484
AFG3L1	562	448	301	406	622	399	303	451	357	272	283	600	446	424
AFG3L2	5891	3624	3809	5489	6034	3188	3811	5573	3957	4709	3904	2973	3060	2847
AFMID	2213	1976	1565	1174	933	898	1504	492	1097	1573	1530	1755	1378	855
AFM	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFP	6	0	0	0	172	3	1	0	0	4	30	323	140	63
AFTPH	3861	2525	6583	5894	5226	4329	8894	6732	6121	7195	4889	7387	5113	11714
AG2	423	74	392	231	192	103	360	262	304	225	245	841	1204	734
AGAP11	28	84	79	37	154	51	110	36	95	124	81	63	33	52
AGAP1	2229	1000	2299	3065	1813	866	954	1829	3284	1732	955	1817	1429	1843
AGAP2	199	52	138	86	194	245	239	430	339	197	217	169	510	249
AGAP3	5874	4372	3509	2724	6290	2609	4462	3116	4269	3240	2772	3584	4407	3006
AGAP4	225	438	277	214	598	381	224	158	320	225	195	537	360	154
AGAP5	28	169	55	60	128	82	218	53	103	72	80	96	152	27
AGAP6	121	212	184	119	322	175	88	106	146	123	118	323	173	109
AGAP7	5	28	14	10	11	19	5	11	16	10	4	19	10	5
AGAP8	45	163	65	16	52	63	9	33	96	76	15	120	128	17
AGA	1424	1155	1653	2090	876	1805	2631	1361	2336	2279	2496	1654	1320	3270
AGBL1	1	0	0	0	1	0	0	0	1	0	0	0	0	0
AGBL2	17	20	30	4	2	28	28	53	92	67	51	88	68	47
AGBL3	18	11	59	41	26	2	1	28	2	10	8	11	21	17
AGBL4	6	26	96	85	172	39	18	11	22	36	13	7	39	30
AGBL5	4132	2545	539	10298	4975	1974	2304	1361	2018	1947	1579	1371	1315	1486
AGER	36	59	30	40	52	30	12	28	26	76	28	65	59	31
AGFG1	6622	3511	5558	7962	5771	2434	4358	3117	4202	4137	4547	5272	7300	4671
AGFG2	255	608	1670	447	404	819	1808	1466	1191	1066	499	1104	2232	1252
AGGF1	2173	2003	4022	3819	2464	1897	2101	4278	2665	2990	3073	3200	3202	3699
AGK	2438	1780	1487	2132	1960	1362	1107	1396	1456	1576	1346	1713	2083	1317
AGL	2838	2682	2994	2043	2244	4150	2060	2413	2092	6051	5053	9501	7629	3006
AGMAT	313	74	44	227	64	109	37	591	79	114	30	67	234	50
AGPAT1	5627	3549	4449	9533	6408	4081	6732	4560	5512	7113	5559	5729	5596	4457
AGPAT2	2157	1050	1720	368	2290	2200	1962	3897	3049	1937	1928	3348	3332	2752
AGPAT3	7476	3892	7669	8373	7470	3885	8561	7567	4786	7541	7947	7967	8648	8258
AGPAT4	781	810	692	600	1326	196	100	447	389	392	909	591	730	534
AGPAT5	6914	1772	1882	2263	3539	2526	1097	1989	986	2198	1858	2584	2339	2650
AGPAT6	7112	3811	6895	6223	15243	2047	11030	5984	8450	6536	6600	6164	3609	6454
AGPAT9	2118	67	157	88	13	130	211	200	96	197	113	310	99	640
AGPHD1	34	158	302	291	80	212	230	178	115	122	130	103	205	140
AGPS	4711	1847	4464	9345	6352	832	8865	3793	939	1400	2813	3209	2825	5752
AGR2	372	118	30067	304	23	55376	27042	197546	10991	12184	5681	27620	5746	24923
AGR3	9	3	7785	0	0	16717	5791	8970	3380	5224	2463	19102	1910	577
AGRN	38812	24457	21027	7225	11611	21104	9449	10089	36870	24307	11638	15071	25590	33460
AGRP	2	0	0	0	4	0	0	0	0	1	0	0	1	2
AGTPBP1	4212	739	620	2282	7387	581	761	1063	576	524	751	740	892	866
AGTR1	220	27	139	21	9	111	130	231	96	372	369	1877	287	465
AGTR2	2	15	0	0	0	27	0	0	1	6	0	1	1	0
AGTRAP	3130	923	1944	2059	992	3612	1817	1648	4569	3020	1520	2077	2935	3041
AGT	51	27	246	0	16	251	86	97	217	4042	267	252	3881	257
AGXT2L1	3	0	0	0	4	3	0	5	2	21	0	0	1	6
AGXT2L2	403	504	889	161	129	696	489	951	985	580	739	1083	956	809
AGXT2	0	1	1	0	0	0	1	0	0	0	2	53	0	1
AGXT	0	8	1	0	134	3	0	12	5	0	0	0	0	147
AHCTF1	5329	2993	7420	7804	5894	4601	4705	7251	3136	7718	3174	5020	6931	6151
AHCYL1	9195	5793	20188	12716	8703	8675	34067	6755	12973	19493	13839	7636	11256	10364
AHCYL2	1632	2132	2364	1634	962	1615	8590	1266	1245	2436	2499	3689	2271	2073
AHCY	27906	11614	10037	26397	15157	22524	9868	15610	9229	13977	14910	10173	11393	11630
AHDC1	4302	7601	2130	2230	3232	1792	3013	1856	3366	3381	2780	1709	4513	2087
AHI1	1424	501	1256	892	2824	542	745	774	528	662	673	1176	1123	799
AHNAK2	8707	421	3276	2972	490	1392	482	4338	2586	3169	8555	3368	4155	3906
AHNAK	60099	95937	68315	6368	11956	77491	108627	102203	151170	125411	207796	129504	148753	156867
AHRR	92	122	70	42	214	127	158	327	103	51	239	76	399	168
AHR	5744	4885	8591	2479	988	3766	6660	15726	2811	6871	5079	6749	8067	6275
AHSA1	6105	2924	5016	4264	6823	4253	4615	5372	3212	5562	5420	5348	6382	4866
AHSA2	272	741	403	715	337	346	259	364	743	413	390	842	667	332
AHSG	3	0	0	3	5	0	0	0	0	0	0	0	0	0
AHSP	1	0	1	0	0	1	0	0	0	0	0	1	1	4
AICDA	2	1	4	0	0	0	1	1	0	0	4	0	0	2
AIDA	4773	1157	6934	3872	2134	2894	3986	2882	1859	4765	3486	3070	4046	4300
AIF1L	8537	7367	502	20843	13447	2045	769	2693	2078	2430	550	1762	2751	2388
AIF1	1458	258	1355	305	183	756	650	1230	688	694	1041	851	1121	460
AIFM1	2437	1289	2754	1724	3570	3103	2055	5567	4325	2891	3491	2381	3334	3078
AIFM2	906	341	1196	308	1308	1106	654	899	647	497	817	828	998	1580
AIFM3	9	32	149	78	60	136	123	26	26	172	46	16	194	340
AIG1	2091	951	4168	1252	1356	1105	3059	1478	1392	1405	1572	2960	1248	6439
AIM1L	433	4	605	70	242	69	5	295	11	31	21	16	241	6
AIM1	8633	4502	4160	1764	2296	7256	2777	2197	4373	3217	5833	9595	9630	9103
AIM2	40	1	17	13	24	60	10	58	102	10	10	39	105	23
AIMP1	3212	2014	3552	4426	4650	2215	3380	2609	2879	3454	2506	3672	2526	4174
AIMP2	2033	796	951	1293	1592	1317	771	2015	1339	1343	786	942	1385	1416
AIPL1	0	1	1	0	13	0	0	0	0	0	0	0	1	0
AIP	2896	1632	2063	2172	4471	1892	5185	3371	1881	1952	1722	2434	3250	1382
AIRE	14	0	0	0	3	0	0	0	0	0	0	0	0	0
AJAP1	4	36	81	342	34	22	14	16	20	44	77	50	19	21
AK1	929	532	1726	1406	1486	681	1826	2048	2754	1231	1391	1578	2533	1028
AK2	10348	3444	7441	9317	6870	6304	4525	5409	7257	7082	4857	4250	7983	4121
AK3L1	1370	1710	57	12728	1184	608	811	142	608	812	308	601	1571	1040
AK3	2530	2793	4068	4042	8996	1932	4049	2428	2650	4581	4131	2626	3014	3235
AK5	93	54	1201	23	3656	339	39	329	88	1671	1134	568	692	135
AK7	134	24	15	316	148	154	28	54	310	258	21	113	84	220
AKAP10	740	978	1233	1106	1146	537	787	1927	1640	910	1350	1494	996	1109
AKAP11	2165	4542	5623	3366	6925	2430	3171	5024	5361	5123	5181	3901	4750	5116
AKAP12	1904	772	1289	377	1750	2027	1326	2962	2335	2303	6173	3758	3872	4778
AKAP13	4630	8373	7989	16907	8507	7337	7063	9803	7524	11063	12293	13574	10321	6363
AKAP14	2	0	1	0	4	25	0	32	8	1	0	5	7	0
AKAP1	3221	5197	5812	14445	7905	3921	4453	3133	3989	6261	4360	4906	4477	4172
AKAP2	1850	3486	1610	481	826	1110	1971	2596	1653	1447	2093	2277	2139	2055
AKAP3	655	80	41	228	583	53	10	19	69	90	78	61	59	54
AKAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP5	220	416	756	525	547	147	312	403	153	539	381	508	1943	155
AKAP6	103	591	64	1277	137	168	97	143	84	234	159	196	157	117
AKAP7	593	558	393	448	160	395	225	273	157	375	226	524	367	526
AKAP8L	3131	1946	2959	2931	5177	2306	1973	1961	2626	2177	1212	1602	2743	2404
AKAP8	1787	1737	1964	1863	2933	1687	1863	2322	1669	1659	1243	1550	1916	1228
AKAP9	4671	6653	9572	5267	6579	4900	19115	5232	8461	13590	6118	23291	8724	5417
AKD1	826	268	156	1278	1033	466	604	203	512	353	222	485	425	1018
AKIRIN1	6084	2701	6430	7023	4729	2993	1886	2706	2579	3016	2401	2238	3290	1996
AKIRIN2	4191	1745	1762	4711	4101	1582	1125	1576	1157	1300	1320	2145	2045	2180
AKNAD1	1	2	7	10	1	5	1	3	1	4	11	1	7	4
AKNA	1986	664	1277	1180	2220	2507	1094	2821	2393	1767	1297	1305	3084	1234
AKR1A1	6068	3670	11690	6241	4458	9767	6042	5580	8310	8436	6670	3807	9866	3090
AKR1B10	15	8	344	0	81	6	4	7	2	3	26	68	13	374
AKR1B15	9	10	66	0	11	1	0	6	4	2	36	10	50	63
AKR1B1	5249	2197	2325	7228	12048	1360	1317	2623	1636	1577	2731	1544	2346	1841
AKR1C1	297	272	118	900	35	260	20	32	117	68	59	313	78	984
AKR1C2	94	114	30	119	3	131	73	21	66	47	51	400	36	1244
AKR1C3	210	368	596	256	40	1469	141	243	290	563	481	1254	349	2780
AKR1C4	2	0	0	0	6	0	0	0	0	0	0	0	0	0
AKR1CL1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AKR1D1	1	1	4	0	0	1	0	1	1	0	22	5	0	1
AKR1E2	140	127	57	1134	216	22	38	17	13	105	45	26	99	18
AKR7A2	3643	1556	2261	3005	2532	4490	3357	2448	5770	5044	2045	2084	3628	2534
AKR7A3	68	43	435	31	84	3362	3580	2057	10211	3065	15	386	128	1301
AKR7L	23	15	43	7	106	123	193	87	348	146	5	29	23	89
AKT1S1	5756	1981	3266	2523	2535	4178	3765	3885	2944	3335	2985	2845	3067	3246
AKT1	12114	7565	18780	31492	9950	11585	15007	19071	17203	10529	13212	13156	21145	12957
AKT2	6580	4794	6037	11387	9454	9065	9480	8705	9527	8374	7662	8561	7040	7741
AKT3	3628	170	1395	314	4521	900	643	1871	2182	5778	3234	2041	1919	1706
AKTIP	843	1115	1540	438	543	883	1225	1035	1130	1154	1627	1471	1446	2582
ALAD	1933	2957	3151	1320	1567	2633	3233	4199	8798	4278	6453	5291	4608	2389
ALAS1	2679	1976	3444	2360	2510	2335	1973	4664	2583	2887	1434	3294	4635	1373
ALAS2	1	1	1	2	0	0	8	0	0	4	0	0	1	21
ALB	45	14	7	111	2080	10	0	4	23	27	330	1355	1358	3026
ALCAM	5275	1896	14517	3210	2844	2647	40772	11948	17026	15080	38382	21649	39898	11855
ALDH16A1	1626	1362	1661	785	2999	3525	1975	2189	2758	2063	2197	1303	2758	2314
ALDH18A1	7144	5182	10646	27654	10157	7902	6448	7508	7168	9921	10434	8619	11357	4378
ALDH1A1	1045	5246	926	581	1060	2040	729	1609	640	1184	2935	1299	2525	1386
ALDH1A2	74	37	22	34	6	238	45	140	64	171	84	220	249	228
ALDH1A3	634	11435	4287	1534	649	842	428	1767	1926	1237	2398	1061	1456	946
ALDH1B1	3845	1549	5297	1885	1181	1871	1804	3832	2849	1985	6280	3590	6474	1078
ALDH1L1	28	212	0	23	44	173	8	2	11	92	13	127	17	320
ALDH1L2	1970	406	1667	1015	1382	488	208	2289	915	1527	5513	1184	4126	773
ALDH2	7991	312	3787	3000	12954	4508	1333	4203	13982	3164	10323	4474	8166	3985
ALDH3A1	65	21	4	16	373	34	29	0	19	24	8	21	4	23
ALDH3A2	4353	4003	6490	6048	8430	2960	4349	7096	18373	6533	4509	4767	2913	5110
ALDH3B1	678	219	680	124	247	388	3009	531	1198	846	753	561	601	889
ALDH3B2	937	1324	3688	3332	1560	3070	2783	13460	937	1296	931	9495	11316	571
ALDH4A1	1258	778	1267	2734	2371	2688	2121	3303	4905	2090	1859	1706	1085	6560
ALDH5A1	690	1423	1037	3795	2824	578	603	2031	1865	1050	392	2193	380	1813
ALDH6A1	212	1074	1056	1760	527	1471	1860	1540	1949	1771	1741	1434	2216	1328
ALDH7A1	4607	6192	4950	10020	2845	4371	6341	3897	4157	5325	5412	3439	6626	11919
ALDH8A1	34	37	229	26	35	12	0	12	66	5	30	7	3	68
ALDH9A1	6096	19188	12849	21433	6103	7212	8660	9546	4856	14850	6809	12245	15981	8540
ALDOA	50667	22264	51543	37228	30634	71552	56002	95301	271014	68817	44255	53072	121824	96389
ALDOB	2	10	15	2	7	6	2	6	8	10	6	10	3	14
ALDOC	328	679	2412	3648	642	439	3515	166	219	510	422	571	429	1026
ALG10B	745	1269	415	45	1297	792	715	1110	909	1180	779	1497	1061	743
ALG10	256	420	176	1465	271	239	246	587	257	421	331	520	703	266
ALG11	27	22	89	110	382	60	19	64	124	36	91	62	52	35
ALG12	1451	1053	2286	1122	534	1816	1955	1581	1339	2032	2049	1232	2215	1222
ALG13	966	808	1386	1031	1540	1021	992	1408	744	985	940	1335	1232	1862
ALG14	478	397	1323	740	388	383	294	684	536	559	554	454	586	425
ALG1L2	0	0	0	0	1	0	0	1	0	0	0	0	1	0
ALG1L	28	48	5	5	36	266	71	208	11	5	8	371	26	12
ALG1	1716	977	1989	2480	553	1648	1980	2526	4285	2553	1917	1605	1999	2299
ALG2	2017	1720	2047	1761	2148	1574	1618	3304	2161	3094	3078	2969	2110	1458
ALG3	5075	1342	2469	5374	1995	1930	1468	3661	2177	2097	3808	2159	2864	2007
ALG5	1448	983	1787	1180	3338	1458	1264	1917	1852	1736	1816	1596	1267	3239
ALG6	2074	695	1879	3979	903	1901	1012	1333	918	1170	1394	816	1621	1099
ALG8	2079	1114	24746	14337	1765	2222	76331	4949	4743	4350	2258	1875	3013	39759
ALG9	730	1607	1110	4843	3262	1292	682	1242	1395	1117	1018	1212	1579	1250
ALKBH1	429	511	838	425	973	946	876	1095	407	741	625	1059	1045	930
ALKBH2	1211	1128	722	2218	1710	786	876	1028	546	646	549	716	895	688
ALKBH3	1628	788	773	369	130	1011	1428	506	960	1261	1057	1065	1330	827
ALKBH4	887	643	710	729	878	1054	771	641	795	765	691	611	713	733
ALKBH5	5166	4257	7441	4166	10128	4505	3942	6836	8003	5189	5313	4988	6254	5143
ALKBH6	165	130	370	309	240	265	300	235	277	211	168	160	349	265
ALKBH7	982	1443	2190	1057	1098	2771	2385	2009	1929	1938	1594	846	1427	1476
ALKBH8	360	571	519	2715	579	476	400	725	511	469	661	716	724	439
ALK	23	9	5	4	250	3	4	18	0	10	9	6	4	2
ALLC	0	0	0	1	10	5	2	0	0	1	0	3	2	2
ALMS1P	2	16	4	0	5	23	1	16	7	18	3	24	5	42
ALMS1	2852	2231	2570	3796	6127	2045	2157	3250	3195	4108	2304	3486	3768	2726
ALOX12B	9	9	4	35	126	1	4	2	0	3	0	1	0	9
ALOX12P2	8	42	174	164	10	3	17	5	3	11	4	9	1	33
ALOX12	5	7	2	12	4	7	3	5	14	3	5	9	9	1
ALOX15B	109	144	407	24	27	1570	49	139	556	417	1072	1201	3372	342
ALOX15	6	14	5	1	15	3	1	21	690	21	0	7	113	2
ALOX5AP	1772	214	1677	124	213	485	597	936	1192	588	1404	681	1422	706
ALOX5	2275	216	785	203	2564	395	403	1527	1011	499	1216	932	1110	812
ALOXE3	4	17	239	174	17	6	11	27	25	17	12	30	3	69
ALPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPK1	857	1738	1143	3006	1789	857	664	710	1581	1806	1637	1444	1649	1296
ALPK2	102	2	563	16	38	66	45	278	81	76	662	265	497	38
ALPK3	267	204	582	121	311	282	257	547	1236	288	487	637	417	341
ALPL	1769	1250	749	1856	9096	330	254	450	614	947	226	633	506	739
ALPPL2	33	1	0	0	10	0	0	0	0	0	0	0	0	0
ALPP	238	0	0	0	4	0	0	1	0	0	0	0	0	0
ALS2CL	103	136	572	48	45	152	137	568	832	337	315	449	308	371
ALS2CR11	3	51	13	6	3	16	4	6	3	10	7	24	11	9
ALS2CR12	2	4	5	7	0	4	1	11	0	2	1	18	7	6
ALS2CR4	3389	5000	1428	5390	8545	1780	861	970	995	2519	1704	2125	2601	1359
ALS2CR8	307	578	152	376	354	326	215	286	456	358	387	589	420	310
ALS2	1876	2139	1923	4033	3275	1372	1466	1406	1623	2071	1751	2320	2010	1564
ALX1	63	0	1	36	45	0	1	3	2	0	0	3	0	4
ALX3	98	217	50	646	589	31	15	19	59	59	46	23	46	27
ALX4	3	39	10	0	10	14	9	10	7	33	51	23	39	3
AMAC1L2	1	3	1	0	1	2	3	2	0	0	3	1	2	1
AMAC1L3	0	3	0	1	2	0	0	0	2	2	0	0	3	3
AMAC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AMACR	1853	353	1482	1631	939	1077	1393	1551	1364	2260	2714	1121	2088	1577
AMBN	0	0	0	13	0	0	0	0	0	0	0	0	0	0
AMBP	2	2	7	1	2	261	915	1	25	193	9	60	20	263
AMBRA1	2191	2625	3976	5930	4524	2809	2379	3358	3199	3658	3348	3423	5141	2603
AMD1	11329	6330	4384	7530	7630	2275	2642	3177	1726	2634	3064	3044	3016	5595
AMDHD1	54	0	20	6	40	17	14	58	44	41	19	59	12	7
AMDHD2	657	334	977	293	224	921	626	677	2899	890	802	869	1106	561
AMELX	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMELY	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMFR	3595	5109	6772	3338	3519	8122	13181	8319	12590	12423	7767	9284	8464	37287
AMHR2	0	0	4	0	1	2	2	1	3	3	2	1	4	5
AMH	61	58	3	55	102	18	3	37	1	32	10	4	150	10
AMICA1	1098	83	101	118	39	592	203	554	257	303	230	252	430	327
AMIGO1	252	337	447	260	247	137	267	262	464	286	304	307	172	543
AMIGO2	976	374	2597	348	818	1857	1730	3190	708	2533	7305	6015	3789	1834
AMIGO3	782	262	793	405	234	158	389	285	344	278	158	181	572	187
AMMECR1L	2055	2687	3098	3106	3655	2079	1957	2183	1867	2636	2475	3536	2412	2186
AMMECR1	3434	695	1745	1079	1192	1498	1308	2638	2533	1458	797	799	1551	2188
AMN1	1019	376	459	720	837	713	655	566	623	938	419	639	230	1562
AMN	1	6	1	3	69	2	0	3	2	4	1	2	0	4
AMOTL1	3076	11337	2349	15405	14882	2051	1252	3635	2523	4592	5971	3891	2869	2244
AMOTL2	5167	11509	3892	2572	5613	3274	1231	2781	9463	4261	6663	6347	7025	4643
AMOT	3374	4269	2196	1475	5073	766	2294	4409	1892	2613	6727	1445	8196	1488
AMPD1	20	3	2	4	3	48	13	2	4	49	10	8	28	13
AMPD2	2542	1724	3047	3263	1567	1135	1480	1689	1060	2405	2229	1464	2531	1398
AMPD3	580	420	740	337	775	427	207	1092	504	391	643	508	839	230
AMPH	443	20	625	56	170	1596	808	1004	295	936	887	217	846	347
AMTN	4	1	6	13141	4	0	6	0	0	0	5	40	0	0
AMT	72	248	92	43	68	69	32	57	109	127	83	129	157	43
AMY1A	422	40	5	3	4	1	6	2	5	6	0	1	1	5
AMY2A	11	5	8	0	0	2	128	0	4	0	1	23	1	0
AMY2B	164	335	572	71	104	134	128	59	125	120	83	261	61	132
AMZ1	15	8	77	5	15	128	15	46	717	390	6	60	39	246
AMZ2P1	326	382	371	1486	345	385	362	2434	863	374	439	773	502	467
AMZ2	3938	2051	6230	11672	3468	3698	3629	15986	4719	4668	5369	3727	3930	8663
ANAPC10	335	266	323	284	514	237	229	230	227	339	247	386	283	404
ANAPC11	3362	1261	4720	3790	2256	3195	2783	2288	3444	3158	3658	2548	3495	2942
ANAPC13	1453	2185	2373	3450	3004	3035	2077	2674	4645	3393	3779	2688	4971	1395
ANAPC16	4216	3924	5840	3697	7784	6234	5399	3257	6259	5225	4774	3987	4705	3483
ANAPC1	3776	2251	1608	8424	4517	1080	2136	1379	2041	2645	2151	2359	2802	1789
ANAPC2	1720	1845	1358	1643	2110	2025	2788	2520	2518	1932	2012	1951	2914	1336
ANAPC4	1422	1163	1312	602	1334	813	1086	910	876	1099	1021	1226	1097	1167
ANAPC5	8084	5636	6952	17340	14990	4079	7452	10067	6202	4050	5667	6281	8230	4293
ANAPC7	4055	2199	3898	6427	5790	2022	2424	3912	3281	2106	2649	3166	4099	1846
ANGEL1	1326	1299	1192	1618	1780	1288	1712	2016	754	1769	1930	2754	1311	1728
ANGEL2	1627	1511	2409	2196	1645	1964	2060	2554	1423	2991	2088	2285	2951	2210
ANGPT1	672	131	154	36	263	93	97	119	66	155	220	299	184	389
ANGPT2	307	180	782	198	421	287	676	668	362	618	873	1248	845	696
ANGPT4	2	1	2	1	1	34	3	4	2	4	5	3	6	57
ANGPTL1	67	59	146	64	16	189	158	59	96	175	109	176	610	360
ANGPTL2	1896	5902	7227	1049	1460	1993	1280	5919	2850	5959	12294	3893	12211	2627
ANGPTL3	0	2	0	7	1	0	1	0	0	1	0	0	1	0
ANGPTL4	311	100	126	487	629	186	157	641	590	231	53	881	348	1555
ANGPTL5	0	23	0	0	0	4	5	0	0	0	2	9	11	0
ANGPTL6	21	4	4	25	2	10	1	13	20	7	11	6	20	9
ANGPTL7	13	591	0	2	0	17	6	4	7	18	0	12	6	6
ANG	232	241	1278	819	56	416	281	1654	197	1361	475	564	425	518
ANK1	68	9	58	20	6531	25	6712	28	40	21	17	45	17	522
ANK2	801	79	370	1207	984	669	350	719	942	733	897	1000	1217	895
ANK3	2329	4754	3579	1980	1764	8785	1615	1921	2200	4884	2430	6630	2915	3740
ANKAR	42	76	78	105	38	55	140	61	52	54	42	98	43	43
ANKDD1A	106	121	161	331	585	104	47	129	104	118	78	172	141	120
ANKFN1	0	1	3	0	0	52	6	1	1	4	20	20	19	1
ANKFY1	3170	4929	5724	5949	4262	2849	2370	6668	6369	4361	6304	4699	5998	3547
ANKHD1-EIF4EBP3	1978	3595	2640	1769	929	3202	1144	13068	3456	4903	2108	2432	1958	3633
ANKHD1	3206	5671	6278	7621	8508	3710	6751	6845	5853	7883	3266	8539	7388	7330
ANKH	10142	7106	7516	1094	1857	2536	1410	3743	5014	3911	9251	6981	5381	4004
ANKIB1	5444	3307	5819	5642	4266	3793	4023	5168	4351	4322	5747	6585	6192	3961
ANKK1	15	129	19	8	68	38	2	14	15	31	22	26	58	5
ANKLE1	34	81	9	745	537	10	5	169	15	40	9	10	41	8
ANKLE2	10294	3800	4856	7266	13990	1927	3224	5553	4007	2954	6123	5389	5864	3569
ANKMY1	430	419	302	296	337	1278	508	778	709	1057	314	763	707	475
ANKMY2	754	1104	851	560	523	1107	1863	1352	1078	1852	1187	969	1946	1170
ANKRA2	459	716	789	435	545	678	718	1090	764	789	653	1103	796	1532
ANKRD10	2151	2535	4209	3939	6408	3059	914	1882	3728	2556	3016	3437	2178	2961
ANKRD11	10979	18498	4239	6866	6402	3550	3729	5831	3842	5295	4452	4792	5119	6082
ANKRD12	1975	6128	3957	2912	4331	1728	2817	3168	2602	4038	2997	3722	2813	1930
ANKRD13A	2772	3696	2475	5844	4575	1601	2056	3182	3870	2213	3697	3103	4330	2223
ANKRD13B	1505	730	224	2062	1809	434	327	649	483	626	444	322	496	470
ANKRD13C	1386	1224	3472	1954	1487	1534	1445	1476	1346	1665	1987	1289	1861	2009
